title,url,summary
(아는 건 별로 없지만) 가족입니다,https://pedia.watcha.com/ko-KR/contents/tPeWKYo,"가족 같은 타인과, 타인 같은 가족의 오해와 이해에 관한 이야기를 담은 드라마"
1%의 어떤것,https://pedia.watcha.com/ko-KR/contents/tR2eZyW,까칠한 안하무인 재벌 3세 호텔리어 재인과 정의롭고 똑부러진 초등학교 선생님 다현. 유산 상속을 둘러싼 이들의 좌충우돌 바른 생활 로맨스
17세의 조건,https://pedia.watcha.com/ko-KR/contents/tR5Kpya,애도 어른도 아닌 나이 17세. 그들의 아픔과 성장을 그린 드라마
18 어게인,https://pedia.watcha.com/ko-KR/contents/tEm9mOd,이혼 직전에 18년 전 리즈 시절로 돌아간 남편 이야기를 담은 드라마
20세기 소년소녀,https://pedia.watcha.com/ko-KR/contents/tRzgwVP,"1983년생, 35살의 모태솔로 세 여자들이 첫사랑을 시작하게 되면서 사랑과 우정을 통해 성숙해지는 과정을 그린 드라마"
365: 운명을 거스르는 1년,https://pedia.watcha.com/ko-KR/contents/tlYeWK4,"“1년 전 과거에서 뵙겠습니다"" 

완벽한 인생을 꿈꾸며 1년 전으로 돌아간 순간, 더 알 수 없는 운명에 갇혀 버린 자들의 미스터리 생존 게임."
49일,https://pedia.watcha.com/ko-KR/contents/mdRLwqD,"26살 한창 나이에 희귀암 판정을 받은 윤혁. 그 병을 함께 싸워준 자전거는 윤혁에게 삶의 희망이다. 병이 재발하자 윤혁은 항암치료를 중단하고 프랑스로 떠난다. 모든 사이클리스트들의 꿈인 ‘뚜르 드 프랑스’를 완주하기 위해… 그러나 라이딩을 시작하자마자 함께 달리던 동료가 다치고, 연달아 자전거가 부서지는 사고가 터진다. 예상치 못한 사건 사고들 속에서 급조된 10명의 멤버들 간에 갈등과 불화는 점점 커져가고 결국 다툼으로 폭발하고야 만다. 병실 천장을 보면서 내내 그렸던 완주의 꿈. 윤혁은 과연 그 꿈을 이룰 수 있을까?"
"60일, 지정생존자",https://pedia.watcha.com/ko-KR/contents/tEm9K9d,"대통령 국정연설이 열리던 날, 폭탄 테러로 한날한시 모든게 사라지고 승계서열 12위 환경부 장관이 원치 않는 권력을 잡고 60일간 대통령 권한대행을 해가며 벌어지는 일을 그린 드라마"
7급 공무원,https://pedia.watcha.com/ko-KR/contents/mVWzvZW,"여행사 직원으로 위장한 경력 6년차 국가정보원 요원 ‘수지’. 과거는 밝혀도 정체만은 밝힐 수 없는 직업 특성상 남친 ‘재준’에게 조차 거짓말을 밥 먹듯 하다 일방적인 이별을 통보 받는다. 말도 없이 떠나버린 재준에 대한 서운함과 괘씸함에 몸부림 치던 그녀. 3년 뒤, 청소부로 위장한 채 산업 스파이를 쫓던 중 재준과 우연히 다시 마주치게 된다! 국제 회계사가 되어 나타난 재준. 그를 보자 수지의 마음은 다시 흔들리는데…
  오랜 연인 수지의 반복되는 수상한 거짓말에 지친 ‘재준’. 한국을 떠난다는 전화 한 통으로 이별을 통보하고 러시아로 유학을 떠난다. 3년 뒤 국제회계사로 신분을 위장하고 국가정보원 해외파트 소속 요원이 되어 돌아온 재준. 깨지기 일쑤, 실수 연발의 신참이지만 의욕만은 넘치는 재준은 현장투입 첫 임무로 러시아 조직을 미행하던 중 우연히 수지와 마주친다! 호텔 청소부가 되어 있는 그녀의 모습이 쇼킹하지만 애틋한 마음만은 여전한데…"
7일의 왕비,https://pedia.watcha.com/ko-KR/contents/tlA09BP,"단 7일, 조선 역사상 가장 짧은 시간동안 왕비 자리에 앉았다 폐비된 단경왕후 신씨와 중종의 로맨스를 그린 드라마"
